RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 1,2015,31/1/2015,JDT,Johor,Sri Pahang FC,Pahang,2,0,2,H
Round 1,2015,7/2/2015,Young Lions,Singapore,PDRM FC,Kuala Lumpur,5,3,2,H
Round 1,2015,7/2/2015,Perak FC,Perak,Sime Darby FC,Selangor,2,0,2,H
Round 1,2015,7/2/2015,Terengganu FC,Terengganu,Selangor FC,Selangor,2,0,2,H
Round 1,2015,7/2/2015,Felda United FC,Pahang,Sarawak FA,Sarawak,3,3,0,D
Round 1,2015,7/2/2015,ATM FA,Kuala Lumpur,Kelantan FC,Kelantan,0,2,-2,A
Round 2,2015,14/2/2015,Felda United FC,Pahang,Sime Darby FC,Selangor,3,0,3,H
Round 2,2015,14/2/2015,Sri Pahang FC,Pahang,Selangor FC,Selangor,1,1,0,D
Round 2,2015,14/2/2015,PDRM FC,Kuala Lumpur,JDT,Johor,1,0,1,H
Round 2,2015,14/2/2015,Sarawak FA,Sarawak,Terengganu FC,Terengganu,3,1,2,H
Round 2,2015,14/2/2015,Perak FC,Perak,ATM FA,Kuala Lumpur,2,0,2,H
Round 2,2015,15/2/2015,Kelantan FC,Kelantan,Young Lions,Singapore,2,0,2,H
Round 3,2015,21/2/2015,Young Lions,Singapore,Perak FC,Perak,2,2,0,D
Round 3,2015,21/2/2015,Terengganu FC,Terengganu,Sime Darby FC,Selangor,2,1,1,H
Round 3,2015,21/2/2015,Selangor FC,Selangor,JDT,Johor,1,1,0,D
Round 3,2015,21/2/2015,Sarawak FA,Sarawak,Sri Pahang FC,Pahang,0,0,0,D
Round 3,2015,21/2/2015,Felda United FC,Pahang,ATM FA,Kuala Lumpur,2,1,1,H
Round 3,2015,21/2/2015,Kelantan FC,Kelantan,PDRM FC,Kuala Lumpur,0,4,-4,A
Round 4,2015,6/3/2015,Perak FC,Perak,Kelantan FC,Kelantan,0,0,0,D
Round 4,2015,7/3/2015,Terengganu FC,Terengganu,ATM FA,Kuala Lumpur,2,2,0,D
Round 4,2015,7/3/2015,JDT,Johor,Sarawak FA,Sarawak,2,1,1,H
Round 4,2015,7/3/2015,Felda United FC,Pahang,Young Lions,Singapore,0,0,0,D
Round 4,2015,7/3/2015,PDRM FC,Kuala Lumpur,Selangor FC,Selangor,1,4,-3,A
Round 4,2015,7/3/2015,Sri Pahang FC,Pahang,Sime Darby FC,Selangor,2,0,2,H
Round 5,2015,14/3/2015,Young Lions,Singapore,Terengganu FC,Terengganu,1,1,0,D
Round 5,2015,14/3/2015,Perak FC,Perak,PDRM FC,Kuala Lumpur,1,3,-2,A
Round 5,2015,14/3/2015,ATM FA,Kuala Lumpur,Sri Pahang FC,Pahang,1,0,1,H
Round 5,2015,14/3/2015,Selangor FC,Selangor,Sarawak FA,Sarawak,2,0,2,H
Round 5,2015,14/3/2015,Kelantan FC,Kelantan,Felda United FC,Pahang,0,1,-1,A
Round 5,2015,14/3/2015,Sime Darby FC,Selangor,JDT,Johor,1,1,0,D
Round 6,2015,3/4/2015,PDRM FC,Kuala Lumpur,Sarawak FA,Sarawak,1,0,1,H
Round 6,2015,4/4/2015,Perak FC,Perak,Felda United FC,Pahang,4,1,3,H
Round 6,2015,4/4/2015,JDT,Johor,ATM FA,Kuala Lumpur,2,1,1,H
Round 6,2015,4/4/2015,Sri Pahang FC,Pahang,Young Lions,Singapore,3,2,1,H
Round 6,2015,4/4/2015,Terengganu FC,Terengganu,Kelantan FC,Kelantan,2,1,1,H
Round 6,2015,4/4/2015,Sime Darby FC,Selangor,Selangor FC,Selangor,2,3,-1,A
Round 7,2015,11/4/2015,Young Lions,Singapore,JDT,Johor,0,0,0,D
Round 7,2015,11/4/2015,Kelantan FC,Kelantan,Sri Pahang FC,Pahang,0,2,-2,A
Round 7,2015,11/4/2015,Sarawak FA,Sarawak,Sime Darby FC,Selangor,2,1,1,H
Round 7,2015,11/4/2015,ATM FA,Kuala Lumpur,Selangor FC,Selangor,1,3,-2,A
Round 7,2015,11/4/2015,Perak FC,Perak,Terengganu FC,Terengganu,2,3,-1,A
Round 7,2015,11/4/2015,Felda United FC,Pahang,PDRM FC,Kuala Lumpur,3,2,1,H
Round 8,2015,18/4/2015,Sarawak FA,Sarawak,ATM FA,Kuala Lumpur,1,1,0,D
Round 8,2015,18/4/2015,JDT,Johor,Kelantan FC,Kelantan,3,1,2,H
Round 8,2015,18/4/2015,Sime Darby FC,Selangor,PDRM FC,Kuala Lumpur,1,4,-3,A
Round 8,2015,18/4/2015,Terengganu FC,Terengganu,Felda United FC,Pahang,1,3,-2,A
Round 8,2015,18/4/2015,Selangor FC,Selangor,Young Lions,Singapore,4,0,4,H
Round 8,2015,5/5/2015,Sri Pahang FC,Pahang,Perak FC,Perak,1,0,1,H
Round 9,2015,24/4/2015,Perak FC,Perak,JDT,Johor,2,1,1,H
Round 9,2015,25/4/2015,Young Lions,Singapore,Sarawak FA,Sarawak,1,0,1,H
Round 9,2015,25/4/2015,ATM FA,Kuala Lumpur,Sime Darby FC,Selangor,1,1,0,D
Round 9,2015,25/4/2015,PDRM FC,Kuala Lumpur,Terengganu FC,Terengganu,3,1,2,H
Round 9,2015,25/4/2015,Felda United FC,Pahang,Sri Pahang FC,Pahang,0,1,-1,A
Round 9,2015,25/4/2015,Kelantan FC,Kelantan,Selangor FC,Selangor,2,1,1,H
Round 10,2015,2/5/2015,Sarawak FA,Sarawak,Kelantan FC,Kelantan,3,2,1,H
Round 10,2015,2/5/2015,Sri Pahang FC,Pahang,Terengganu FC,Terengganu,3,2,1,H
Round 10,2015,2/5/2015,Selangor FC,Selangor,Perak FC,Perak,1,2,-1,A
Round 10,2015,2/5/2015,Sime Darby FC,Selangor,Young Lions,Singapore,1,2,-1,A
Round 10,2015,2/5/2015,ATM FA,Kuala Lumpur,PDRM FC,Kuala Lumpur,3,1,2,H
Round 10,2015,3/5/2015,JDT,Johor,Felda United FC,Pahang,1,0,1,H
Round 11,2015,20/6/2015,Young Lions,Singapore,ATM FA,Kuala Lumpur,3,1,2,H
Round 11,2015,20/6/2015,Terengganu FC,Terengganu,JDT,Johor,0,1,-1,A
Round 11,2015,20/6/2015,Sarawak FA,Sarawak,Perak FC,Perak,1,1,0,D
Round 11,2015,20/6/2015,Felda United FC,Pahang,Selangor FC,Selangor,4,4,0,D
Round 11,2015,20/6/2015,PDRM FC,Kuala Lumpur,Sri Pahang FC,Pahang,3,5,-2,A
Round 11,2015,25/7/2015,Kelantan FC,Kelantan,Sime Darby FC,Selangor,2,2,0,D
Round 12,2015,23/6/2015,ATM FA,Kuala Lumpur,Young Lions,Singapore,1,1,0,D
Round 12,2015,23/6/2015,JDT,Johor,Terengganu FC,Terengganu,2,0,2,H
Round 12,2015,23/6/2015,Sime Darby FC,Selangor,Kelantan FC,Kelantan,1,1,0,D
Round 12,2015,23/6/2015,Selangor FC,Selangor,Felda United FC,Pahang,1,0,1,H
Round 12,2015,23/6/2015,Perak FC,Perak,Sarawak FA,Sarawak,3,1,2,H
Round 12,2015,23/6/2015,Sri Pahang FC,Pahang,PDRM FC,Kuala Lumpur,1,0,1,H
Round 13,2015,26/6/2015,PDRM FC,Kuala Lumpur,Young Lions,Singapore,2,1,1,H
Round 13,2015,27/6/2015,Sarawak FA,Sarawak,Felda United FC,Pahang,0,2,-2,A
Round 13,2015,27/6/2015,Sri Pahang FC,Pahang,JDT,Johor,1,1,0,D
Round 13,2015,27/6/2015,Sime Darby FC,Selangor,Perak FC,Perak,1,3,-2,A
Round 13,2015,27/6/2015,Selangor FC,Selangor,Terengganu FC,Terengganu,2,0,2,H
Round 13,2015,28/7/2015,Kelantan FC,Kelantan,ATM FA,Kuala Lumpur,5,1,4,H
Round 14,2015,4/7/2015,Young Lions,Singapore,Kelantan FC,Kelantan,3,0,3,H
Round 14,2015,4/7/2015,Sime Darby FC,Selangor,Felda United FC,Pahang,2,2,0,D
Round 14,2015,4/7/2015,Selangor FC,Selangor,Sri Pahang FC,Pahang,1,3,-2,A
Round 14,2015,4/7/2015,JDT,Johor,PDRM FC,Kuala Lumpur,2,1,1,H
Round 14,2015,4/7/2015,Terengganu FC,Terengganu,Sarawak FA,Sarawak,4,2,2,H
Round 14,2015,4/7/2015,ATM FA,Kuala Lumpur,Perak FC,Perak,1,2,-1,A
Round 15,2015,8/7/2015,Perak FC,Perak,Young Lions,Singapore,1,2,-1,A
Round 15,2015,8/7/2015,Sime Darby FC,Selangor,Terengganu FC,Terengganu,0,2,-2,A
Round 15,2015,8/7/2015,Sri Pahang FC,Pahang,Sarawak FA,Sarawak,3,1,2,H
Round 15,2015,8/7/2015,ATM FA,Kuala Lumpur,Felda United FC,Pahang,0,4,-4,A
