date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1934-05-19,Philippines,Indonesia,3.0,2.0,Far Eastern Championship Games,Manila,Philippines,False
1953-06-20,Singapore,Philippines,3.0,1.0,Friendly,Kallang,Singapore,False
1954-05-03,Philippines,Vietnam,2.0,3.0,Asian Games,Manila,Philippines,False
1954-05-04,Myanmar,Singapore,1.0,1.0,Asian Games,Manila,Philippines,True
1954-05-08,Indonesia,Myanmar,4.0,5.0,Asian Games,Manila,Philippines,True
1954-11-01,Cambodia,Thailand,7.0,1.0,Friendly,Phnom Penh,Cambodia,False
1956-03-17,Malaysia,Cambodia,9.0,2.0,AFC Asian Cup qualification,Kuala Lumpur,Malaya,True
1956-04-24,Cambodia,Malaysia,3.0,2.0,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
1957-08-31,Indonesia,Thailand,4.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-01,Cambodia,Thailand,0.0,3.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-01,Malaysia,Myanmar,5.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-03,Myanmar,Cambodia,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-03,Singapore,Thailand,6.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Myanmar,Thailand,5.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Cambodia,Singapore,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-07,Myanmar,Singapore,2.0,3.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-07,Malaysia,Indonesia,4.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-10,Singapore,Myanmar,2.0,1.0,Friendly,Singapore,Singapore,False
1957-10-31,Cambodia,Malaysia,1.0,3.0,Friendly,Phnom Penh,Cambodia,False
1958-03-01,Malaysia,Singapore,5.0,2.0,Friendly,Kuala Lumpur,Malaya,False
1958-03-02,Malaysia,Singapore,3.0,1.0,Friendly,Kuala Lumpur,Malaya,False
1958-05-03,Singapore,Malaysia,3.0,3.0,Friendly,Kallang,Singapore,False
1958-05-04,Singapore,Malaysia,0.0,3.0,Friendly,Kallang,Singapore,False
1958-05-09,Philippines,Indonesia,1.0,2.0,Friendly,Manila,Philippines,False
1958-05-13,Philippines,Indonesia,0.0,3.0,Friendly,Manila,Philippines,False
1958-05-25,Indonesia,Myanmar,4.0,2.0,Asian Games,Tokyo,Japan,True
1958-05-30,Indonesia,Philippines,5.0,2.0,Asian Games,Tokyo,Japan,True
1958-07-02,Singapore,Indonesia,0.0,5.0,Friendly,Kallang,Singapore,False
1958-07-03,Malaysia,Indonesia,2.0,4.0,Friendly,Kallang,Singapore,True
1958-08-30,Malaysia,Indonesia,3.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1958-08-31,Indonesia,Singapore,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1958-09-02,Malaysia,Singapore,0.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-05-11,Singapore,Malaysia,2.0,5.0,AFC Asian Cup qualification,Kallang,Singapore,False
1959-12-13,Malaysia,Myanmar,2.0,1.0,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-14,Thailand,Malaysia,3.0,1.0,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-15,Thailand,Myanmar,5.0,2.0,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1960-04-20,Indonesia,Malaysia,5.0,0.0,Friendly,Surakarta,Indonesia,False
1960-08-07,Malaysia,Thailand,8.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-08,Indonesia,Singapore,8.0,3.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-02,Indonesia,Singapore,1.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-09,Indonesia,Thailand,2.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-12,Singapore,Thailand,5.0,3.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-13,Malaysia,Indonesia,1.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-10-23,Indonesia,Malaysia,1.0,3.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1961-12-11,Myanmar,Cambodia,4.0,0.0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-12,Malaysia,Cambodia,4.0,0.0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-13,Myanmar,Malaysia,1.0,2.0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-14,Malaysia,Thailand,2.0,2.0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-16,Myanmar,Malaysia,0.0,2.0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1962-07-12,Singapore,Indonesia,1.0,2.0,Friendly,Kallang,Singapore,False
1962-08-26,Malaysia,Philippines,15.0,1.0,Asian Games,Jakarta,Indonesia,True
1962-08-27,Indonesia,Philippines,6.0,0.0,Asian Games,Jakarta,Indonesia,False
1962-08-28,Indonesia,Malaysia,2.0,3.0,Asian Games,Jakarta,Indonesia,False
1962-09-11,Indonesia,Singapore,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-12,Indonesia,Philippines,9.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-13,Malaysia,Myanmar,3.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1962-09-13,Philippines,Singapore,0.0,5.0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-10-27,Malaysia,Thailand,4.0,2.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1962-10-28,Indonesia,Malaysia,2.0,1.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1962-10-30,Indonesia,Thailand,7.0,0.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1963-08-14,Malaysia,Thailand,2.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1963-12-11,Malaysia,Thailand,3.0,1.0,AFC Asian Cup qualification,Saigon,Vietnam Republic,True
1964-08-22,Malaysia,Thailand,3.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-08-28,Malaysia,Myanmar,0.0,3.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-09-01,Cambodia,Thailand,0.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-05,Malaysia,Thailand,1.0,1.0,Merdeka Tournament,Ipoh,Malaysia,False
1965-08-06,Cambodia,Indonesia,0.0,0.0,Friendly,Pyongyang,North Korea,True
1965-08-22,Myanmar,Thailand,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-12-15,Myanmar,Singapore,1.0,0.0,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
1965-12-18,Malaysia,Myanmar,0.0,2.0,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,False
1965-12-22,Myanmar,Thailand,2.0,2.0,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
